StartTime(UTC),EndTime(UTC),Type,Severity
2016-07-29 22:00:00,2016-07-29 22:15:00,Rain,Moderate
2016-07-29 23:15:00,2016-07-30 00:00:00,Rain,Light
2016-07-30 12:30:00,2016-07-30 13:00:00,Rain,Light
2016-08-05 08:00:00,2016-08-05 10:00:00,Rain,Light
2016-08-12 15:00:00,2016-08-12 15:45:00,Rain,Light
2016-08-12 17:00:00,2016-08-12 17:00:00,Rain,Moderate
2016-08-12 17:15:00,2016-08-12 18:45:00,Rain,Heavy
2016-08-12 20:00:00,2016-08-12 23:00:00,Rain,Light
2016-08-13 00:15:00,2016-08-13 01:30:00,Rain,Light
2016-08-13 01:30:00,2016-08-13 01:45:00,Rain,Moderate
2016-08-13 01:45:00,2016-08-13 02:45:00,Rain,Heavy
2016-08-13 02:45:00,2016-08-13 05:00:00,Rain,Moderate
2016-08-13 05:15:00,2016-08-13 06:00:00,Rain,Moderate
2016-08-13 06:00:00,2016-08-13 06:15:00,Rain,Heavy
2016-08-13 06:15:00,2016-08-13 07:00:00,Rain,Light
2016-08-13 10:30:00,2016-08-13 11:15:00,Rain,Light
2016-08-15 22:00:00,2016-08-15 23:45:00,Rain,Light
2016-08-16 00:00:00,2016-08-16 02:00:00,Rain,Light
2016-08-16 04:30:00,2016-08-16 05:00:00,Rain,Light
2016-08-16 06:30:00,2016-08-16 11:15:00,Rain,Light
2016-08-18 12:15:00,2016-08-18 12:45:00,Rain,Light
2016-08-18 12:45:00,2016-08-18 13:15:00,Rain,Moderate
2016-08-18 13:15:00,2016-08-18 13:15:00,Rain,Light
2016-08-18 13:30:00,2016-08-18 14:15:00,Rain,Heavy
2016-08-19 16:15:00,2016-08-19 17:00:00,Rain,Light
2016-08-20 14:30:00,2016-08-20 15:00:00,Rain,Heavy
2016-08-20 15:00:00,2016-08-20 15:15:00,Rain,Light
2016-08-20 15:15:00,2016-08-20 17:00:00,Rain,Moderate
2016-08-21 00:00:00,2016-08-21 00:15:00,Rain,Light
2016-08-24 14:30:00,2016-08-24 17:30:00,Rain,Light
2016-08-24 17:30:00,2016-08-24 18:00:00,Rain,Moderate
2016-08-25 07:00:00,2016-08-25 08:00:00,Rain,Light
2016-08-25 09:00:00,2016-08-25 10:00:00,Rain,Light
2016-08-25 11:00:00,2016-08-25 13:00:00,Rain,Light
2016-08-27 04:00:00,2016-08-27 07:00:00,Rain,Light
2016-08-27 08:00:00,2016-08-27 09:00:00,Rain,Light
2016-08-27 09:45:00,2016-08-27 11:00:00,Rain,Light
2016-08-27 11:00:00,2016-08-27 11:15:00,Rain,Moderate
2016-08-27 11:15:00,2016-08-27 12:00:00,Rain,Light
2016-08-27 12:00:00,2016-08-27 14:15:00,Rain,Moderate
2016-08-27 14:15:00,2016-08-27 16:00:00,Rain,Light
2016-08-29 21:30:00,2016-08-29 22:15:00,Rain,Light
2016-08-30 01:00:00,2016-08-30 02:00:00,Rain,Light
2016-08-30 13:00:00,2016-08-30 14:00:00,Rain,Light
2016-08-30 14:00:00,2016-08-30 14:15:00,Rain,Moderate
2016-08-30 14:15:00,2016-08-30 16:00:00,Rain,Light
2016-09-01 23:00:00,2016-09-02 00:00:00,Rain,Light
2016-09-07 18:45:00,2016-09-07 19:30:00,Rain,Light
2016-09-08 02:00:00,2016-09-08 03:00:00,Rain,Light
2016-09-08 06:00:00,2016-09-08 09:45:00,Rain,Light
2016-09-08 10:30:00,2016-09-08 13:00:00,Rain,Light
2016-09-09 22:00:00,2016-09-09 23:00:00,Rain,Light
2016-09-10 00:00:00,2016-09-10 01:00:00,Rain,Light
2016-09-10 14:30:00,2016-09-10 15:00:00,Rain,Light
2016-09-10 16:30:00,2016-09-10 17:00:00,Rain,Light
2016-09-14 05:00:00,2016-09-14 06:00:00,Rain,Light
2016-09-14 11:15:00,2016-09-14 12:30:00,Rain,Light
2016-09-17 05:45:00,2016-09-17 10:00:00,Rain,Light
2016-09-17 12:00:00,2016-09-17 13:00:00,Rain,Light
2016-09-21 14:00:00,2016-09-21 15:00:00,Rain,Light
2016-09-21 15:00:00,2016-09-21 15:45:00,Rain,Moderate
2016-09-21 15:45:00,2016-09-21 16:00:00,Rain,Light
2016-09-21 21:00:00,2016-09-21 22:30:00,Rain,Light
2016-09-25 21:00:00,2016-09-25 21:15:00,Rain,Light
2016-09-26 08:00:00,2016-09-26 10:00:00,Rain,Light
2016-09-28 10:00:00,2016-09-28 13:00:00,Rain,Light
2016-09-28 20:00:00,2016-09-28 22:00:00,Rain,Light
2016-09-29 00:00:00,2016-09-29 00:45:00,Rain,Light
2016-09-29 00:45:00,2016-09-29 02:00:00,Rain,Moderate
2016-09-29 02:00:00,2016-09-29 03:00:00,Rain,Light
2016-09-29 16:00:00,2016-09-29 17:00:00,Rain,Light
2016-09-29 18:00:00,2016-09-29 19:00:00,Rain,Light
2016-09-29 19:00:00,2016-09-29 19:30:00,Rain,Light
2016-09-30 04:00:00,2016-09-30 06:00:00,Rain,Light
2016-09-30 06:30:00,2016-09-30 10:30:00,Rain,Light
2016-09-30 11:45:00,2016-09-30 12:30:00,Rain,Light
2016-09-30 15:00:00,2016-09-30 18:00:00,Rain,Light
2016-10-01 00:00:00,2016-10-01 02:00:00,Rain,Light
2016-10-01 14:30:00,2016-10-01 14:45:00,Rain,Light
2016-10-01 14:45:00,2016-10-01 15:00:00,Rain,Moderate
2016-10-01 15:45:00,2016-10-01 17:00:00,Rain,Heavy
2016-10-01 17:00:00,2016-10-01 19:00:00,Rain,Light
2016-10-01 19:45:00,2016-10-01 23:00:00,Rain,Light
